No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
;LCD;1;hp;;3CQ547005V;Island E7;;
;LCD;1;hp;;3CQ5470063;Island E8;;
;LCD;1;hp;;3CQ547005G;Island E9;;
;LCD;1;hp;;3CQ5470055;Island E10;;
;LCD;1;hp;;3CQ5470069;Island E11;;
;LCD;1;hp;;3CQ547006C;Island E12;;
;LCD;1;hp;;3CQ5472C50;Island E14;;
;LCD;1;hp;;3CQ5472C3K;Island E15;;
;LCD;1;hp;;3CQ5472C96;Island E16;;
;LCD;1;hp;;3CQ547006L;Island E17;;
;LCD;1;hp;;3CQ547006X;Island E18;;
;LCD;1;hp;;3CQ5470067;Island E19;;
;LCD;1;hp;;3CQ5470075;Island E20;;
;LCD;1;hp;;3CQ547005Z;Island E21;;
;LCD;1;hp;;3CQ5470076;Island E22;;
;LCD;1;hp;;3CQ5470056;Island E23;;
;LCD;1;hp;;3CQ547006H;Island E24;;
;LCD;1;hp;;3CQ547007N;Island E25;;
;LCD;1;hp;;3CQ5481C0Q;Island F1;;
;LCD;1;hp;;3CQ5472BR8;Island F2;;
;LCD;1;hp;;3CQ5472C5T;Island F3;;
;LCD;1;hp;;3CQ5481DCX;Island F4;;
;LCD;1;hp;;3CQ547007J;Island F5;;
;LCD;1;hp;;3CQ5470062;Island F6;;
;LCD;1;hp;;3CQ547006S;Island F7;;
;LCD;1;hp;;3CQ5470068;Island F8;;
;LCD;1;hp;;3CQ547006W;Island F9;;
;LCD;1;hp;;3CQ547005X;Island  F10;;
;LCD;1;hp;;3CQ5470071;Island F11;;
;LCD;1;hp;;3CQ547QQ7P;Island F12;;
;LCD;1;hp;;3CQ5492QXK;Island F13;;
;LCD;1;hp;;;Island F14;;
;LCD;1;hp;;3CQ5472C8R;Island F15;;
;LCD;1;hp;;3CQ5481DCS;Island F16;;
;LCD;1;hp;;3CQ547005K;Island F17;;
;LCD;1;hp;;3CQ547006N;Island F18;;
;LCD;1;hp;;;Island F19;;
;LCD;1;hp;;;Island F20;;
;LCD;1;hp;;3CQ547005M;Island F21;;
;LCD;1;hp;;3CQ5481F2T;Island F22;;
;LCD;1;hp;;3CQ5470073;Island F23;;
;LCD;1;hp;;3CQ5470079;Island F24;;
;LCD;1;hp;;3CQ5470073;Island F25;;
;LCD;1;hp;;3CQ547005W;TransferDom01;;
;LCD;1;hp;;3CQ547006Y;TransferDom02;;
;LCD;1;hp;;3CQ5481C0Y;TransferDom03;;
;LCD;1;hp;;3CQ5481C14;TransferDom04;;
;LCD;1;hp;;3CQ5481C19;TransferDom05;;
;LCD;1;hp;;3CQ547005J;TransferDom06;;
;LCD;1;hp;;3CQ5492QWW;TransferDom07;;
;LCD;1;hp;;3CQ5492QXR;TransferDom08;;
;LCD;1;hp;;3CQ5492QXS;TransferDom09;;
;LCD;1;hp;;3CQ5492QXH;TransferDom10;;
;LCD;1;hp;;3CQ5492QXN;R. Stanby;;
9;Thermal printer;1;Epson;TM-L500a;UC3F001166;Island D1;;172.17.176.11
;Thermal printer;1;Epson;TM-L500a;NZ4F003161;Island D2;;172.17.176.12
;Thermal printer;1;Epson;TM-L500a;NZ4F003173;Island D3;;172.17.176.13
;Thermal printer;1;Epson;TM-L500a;UC3F001007;Island D4;;172.17.176.14
;Thermal printer;1;Epson;TM-L500a;UC3F000995;Island D5;;172.17.176.15
;Thermal printer;1;Epson;TM-L500a;UC3F001188;Island D6;;172.17.176.16
;Thermal printer;1;Epson;TM-L500a;UC3F001100;Island D7;;172.17.176.17
;Thermal printer;1;Epson;TM-L500a;UC3F001148;Island D8;;172.17.176.18
;Thermal printer;1;Epson;TM-L500a;UC3F001174;Island D9;;172.17.176.19
;Thermal printer;1;Epson;TM-L500a;UC3F001145;Island D10;;172.17.176.20
;Thermal printer;1;Epson;TM-L500a;UC3F001136;Island D11;;172.17.176.21
;Thermal printer;1;Epson;TM-L500a;UC3F001097;Island D12;;172.17.176.22
;Thermal printer;1;Epson;TM-L500a;NZ4F003170;Island D14;;172.17.176.24
;Thermal printer;1;Epson;TM-L500a;UC3F001084;Island D15;;172.17.176.25
;Thermal printer;1;Epson;TM-L500a;NZ4F003181;Island D16;;172.17.176.26
