,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-ONLB,OFFICE,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1KZB,OFFICE (Backup),,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-DGLU-AOO,CHECKIN B1 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-CFTU-AOO,CHECKIN B2 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-E01U-AOO,CHECKIN B3 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-C6YU-AOO,CHECKIN B4 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C67U-AOO,CHECKIN B5 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C5TU-AOO,CHECKIN B6 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-CEFU-AOO,CHECKIN B7 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-DPGU-AOO,CHECKIN B8 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-DRGU-AOO,CHECKIN B9 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-DGCU-AOO,CHECKIN B10 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-DR7U-AOO,GATE A1 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-DM7U-AOO,GATE B1 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C6GU-AOO,GATE A2 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C70U-AOO,GATE B2 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-CGMU-AOO,OFFICE ( BACKUP ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-C6FU-AOO,OFFICE ( BACKUP ),Penambahan Baru,
,LCD,1,DELL,OFFICE,,,,
,LCD,1,PROLINK,AH-1503,401401122201222,OFFICE,,
,LCD,1,PROLINK,AH-1503,401401122201208,GUDANG,,
,LCD,1,PROLINK,AH-1503,401401120601045,GUDANG,,
,LCD,1,PROLINK,AH-1503,401401122201219,GUDANG,,
,LCD,1,PROLINK,AH-1503,401401122201224,GUDANG,,
,LCD,1,PROLINK,AH-1503,401401122201236,GUDANG,,
8,PSC PC,1,Zotac,HD-ID41,G123521801416,GUDANG,,
,PSC PC,1,Zotac,HD-ID41,G123521801407,GUDANG,,
,PSC PC,1,Zotac,HD-ID41,G123521801406,GUDANG,,
,PSC PC,1,Zotac,HD-ID41,G123521801410,GUDANG,,
,PSC PC,1,Zotac,HD-ID41,G123521801362,OFFICE,,
,PSC PC,1,Zotac,HD-ID41,G123521801419,OFFICE,,
9,Scanner,1,ACCES,LSR - 116,,GATE 3 Inter,,
,Scanner,1,ACCES,LSR - 116,,GATE 4B - DOMESTIK,,
,Scanner,1,ACCES,LSR - 116,,GATE 5A - DOMESTIK,,
,Scanner,1,ACCES,LSR - 116,,GATE 5B - DOMESTIK,,
,Scanner,1,ACCES,LSR - 116,,OFFICE ( Belum dipasang ),Penambahan Baru ,
,Scanner,1,ACCES,LSR - 116,,OFFICE ( Belum dipasang ),Penambahan Baru ,
,Scanner,1,SYSCAN,GM7000,113300025,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300022,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300039,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300034,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300038,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300040,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300037,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300035,GUDANG,,
,Scanner,1,SYSCAN,GM7000,113300033,OFFICE,,
,Scanner,1,SYSCAN,GM7000,113300036,OFFICE,,
10,Mounting,1,Tiang Manual PSC,,,Gudang,,
,Mounting,1,Tiang Manual PSC,,,Gudang,,
,Mounting,1,Tiang Manual PSC,,,Gudang,,
,Mounting,1,Tiang Manual PSC,,,Gudang,,
,Mounting,1,Tiang Manual PSC,,,Gudang,,
,Mounting,1,Tiang Manual PSC,,,Office,,
12,Thermal printer,1,Epson,Epson TM-T 881V,NK6F002233,Gate 3A,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F002234,OFFICE,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F002235,OFFICE,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F002137,OFFICE,,
,Thermal printer,1,Epson,Epson TM-L 90,DEKG037102,GUDANG,,
,Thermal printer,1,Epson,LX-310 ,,GATE 4A,,
,Thermal printer,1,Epson,LX-310 ,,GATE 4A,,
,Thermal printer,1,Epson,LX-310 ,Q7FY152002,GATE 3B,,
,Thermal printer,1,Epson,LX-310 ,Q7FY256269,GATE 1A Inter,,
,Thermal printer,1,Epson,LX-310 ,Q7FY256239,GATE 1B Inter,,
,Thermal printer,1,Epson,LX-310 ,Q7FY253918,GATE 2A Inter,,
,Thermal printer,1,Epson,LX-310 ,Q7FY255287,GATE 2B Inter,,
13,Printer Bpass,1,Zebra,GC 420d,53J131400864,CHECKIN 1,,
,Printer Bpass,1,Zebra,GC 420d,53J123901110,CHECKIN 2 ,,
,Printer Bpass,1,Zebra,GC 420d,53J131400881,CHECKIN 3,,
,Printer Bpass,1,Zebra,GC 420d,53J143900595,CHECKIN 4,,
,Printer Bpass,1,Zebra,GC 420d,53J141002263,CHECKIN 5,,
,Printer Bpass,1,Zebra,GC 420d,53J134702502,CHECKIN 6,,
,Printer Bpass,1,Zebra,GC 420d,53J134702492,CHECKIN 7,,
,Printer Bpass,1,Zebra,GC 420d,53J134800951,CHECKIN 8,,
,Printer Bpass,1,Zebra,GC 420d,53J140901454,CHECKIN 9,,
,Printer Bpass,1,Zebra,GC 420d,53J131400876,CHECKIN 10,,
,Printer Bpass,1,Zebra,GC 420d,53J134800945,CHECKIN 11,,
,Printer Bpass,1,Zebra,GC 420d,53J142901212,CHECKIN 12,,
,Printer Bpass,1,Zebra,GC 420d,53J140901453,CHECKIN 13,,
,Printer Bpass,1,Zebra,GC 420d,53J14800943,CHECKIN 14,,
,Printer Bpass,1,Zebra,GC 420d,53J134800945,CHECKIN 15,,
,Printer Bpass,1,Zebra,GC 420d,53J131400876,CHECKIN 16,,
,Printer Bpass,1,Zebra,GC 420d,53J143900595,CHECKIN 1 INTER,,
,Printer Bpass,1,Zebra,GC 420d,53J134801882,CHECKIN 2INTER,,
,Printer Bpass,1,Zebra,GC 420d,53J142900938,CHECKIN 3 INTER,,
,Printer Bpass,1,Zebra,GC 420d,53J154200266,CHECKIN 4 INTER,,
