No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
10,Bagtag printer 72 1 24 Zebra 8,90 Island D25 UC3F001184 Sunter GC 420 D Zebra,Epson  172.17.176.35 R. Stanby 1 GC 420D,TM-L500a,NZ4F003156 UC4F001080 UC4F001081 UC4F001082 UC4F001066 UC4F001077 UC4F001086 UC3F001094 UC3F001089 UC4F001074 UC4F001075 UC3F001169 UC4F001101 UC4F001090 UC4F001095 UC3F001083 UC4F001086 UC4F001071 UC4F001073 UC3F001144 UC3F001147 UC4F001087 UC3F001153 UC3F001008 UC4F001088 UC4F001067 UC3F001101 UC4F001060 UC3F001094 UC4F001002 UC4F001102 UC4F001091 UC4F001093 UC4F001065 UC4F001076 UC4F001098 NZ4F001087 UC3F001105 UC3F001139 UC3F001104 UC4F001168 UC4F001084 UC4F001096 UC4F001100 UC4F001062 UC4F001103 53J153101172,Island E1 Island E2 Island E3 Island E4 Island E5 Island E6 Island E7 Island E8 Island E9 Island E10 Island E11 Island E12 Island E14 Island E15 Island E16 Island E17 Island E18 Island E19 Island E20 Island E21 Island E22 Island E23 Island E24 Island E25 Island F1 Island F2 Island F3 Island F4 Island F5 Island F6 Island F7 Island F8 Island F9 Island F10 Island F11 Island F12 Island F14 Island F15 Island F16 Island F17 Island F18 Island F19 Island F20 Island F21 Island F22 Island F23 Island F24 Island F25 Island D1 Island D2 Island D3 Island D4 Island D5 Island D6 Island D7 Island D8 Island D9 Island D10 Island D11 Island D12 Island D14 Island D15 Island D16 Island D17 Island D18 Island D19 Island D20 Island D21 Island D22 Island D23 Island D24 R. Stanby,,172.17.176.41 172.17.176.42 172.17.176.43 172.17.176.44 172.17.176.45 172.17.176.46 172.17.176.47 172.17.176.48 172.17.176.49 172.17.176.50 172.17.176.51 172.17.176.52 172.17.176.54 172.17.176.55 172.17.176.56 172.17.176.57 172.17.176.58 172.17.176.59 172.17.176.60 172.17.176.61 172.17.176.62 172.17.176.63 172.17.176.64 172.17.176.65 172.17.176.71 172.17.176.72 172.17.176.73 172.17.176.74 172.17.176.75 172.17.176.76 172.17.176.77 172.17.176.78 172.17.176.79 172.17.176.80 172.17.176.81 172.17.176.82 172.17.176.84 172.17.176.85 172.17.176.86 172.17.176.87 172.17.176.88 172.17.176.89 172.17.176.90 172.17.176.91 172.17.176.92 172.17.176.93 172.17.176.94 172.17.176.95 172.17.176.11 172.17.176.12 172.17.176.13 172.17.176.14 172.17.176.15 172.17.176.16 172.17.176.17 172.17.176.18 172.17.176.19 172.17.176.20 172.17.176.21 172.17.176.22 172.17.176.24 172.17.176.25 172.17.176.26 172.17.176.27 172.17.176.28 172.17.176.29 172.17.176.30 172.17.176.31 172.17.176.32 172.17.176.33 172.17.176.34
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,UPS 1500VA 103,128,Liebert,PSA1500MT3-230U,1603300148PS27M 1603300124PS27M 1603300141PS27M 1603300136PS27M 1603300079PS27M 1611200136PS27M 1603300087PS27M 1603300121PS27M 1603300132PS27M 1611200146PS27M 1607300006PS27M 1603300139PS27M 1611200149PS27M 1611200132PS27M 1611200133PS27M 1611200125PS27M 1611200144PS27M 1611200163PS27M 1611200147PS27M 1609700025PS27M 1607300010PS27M 1603300064PS27M 1603300078PS27M 1609700007PS27M 1609700030PS27M 1609700002PS27M 1609700017PS27M 1603300001PS27M 1603300090PS27M 1607300008PS27M 1607300006PS27M 1607300022PS27M 1609700014PS27M 1603300075PS27M 1609700005PS27M 1609700027PS27M 1603300069PS27M 1609700006PS27M 1607300011PS27M 1603300131PS27M 1603300149PS27M 1607300012PS27M 1603300123PS27M 1611200129PS27M 1603300088PS27M 1603300065PS27M 1603300062PS27M 1609700003PS27M 1609700003PS27M 1609700028PS27M 1609700023PS27M 1603300127PS27M 1609700016PS27M 1603300128PS27M 1603300135PS27M 1611200150PS27M 1604500140PS27M 1607300019PS27M 1603300076PS27M 1609700029PS27M 1609700008PS27M 1609700009PS27M 1609700001PS27M 1607300129PS27M 1603300084PS27M 1603300140PS27M 1607300005PS27M 1603300137PS27M 1607300018PS27M 1603300077PS27M 1603300072PS27M 1603300071PS27M 1607300016PS27M 1603300074PS27M 1609700015PS27M 1609700022PS27M 1603300150PS27M 1603300147PS27M 1603300145PS27M 1603300133PS27M 1611200145PS27M 1603300067PS27M 1603300063PS27M 1604500141PS27M 1603300082PS27M 1609700026PS27M 1609700004PS27M 1607300029PS27M 1603300089PS27M 1603300080PS27M 1609700019PS27M 1609700024PS27M 1603300138PS27M 1603300126PS27M 1603300143PS27M 1603300066PS27M 1607300025PS27M 1607300021PS27M 1607300030PS27M 1611200130PS27M 1611200139PS27M 1611200137PS27M 1611200148PS27M,Gate11 A & B Gate11 C & D Gate12 A & B Gate12 C & D Gate 13 A Gate 13 B Gate 13 C Gate 14 A Gate 14 B Gate 14 C Gate 15 A & B Gate 15 C & D Gate 16 A Gate 16 B Gate 16 C Gate 17 D  Gate 17 C  Gate 17 B Gate 17 A  Island D1 Island D2 Island D3 Island D4 Island D5 Island D6 Island D7 Island D8 Island D9 Island D10 Island D11 Island D12 Island D14 Island D15 Island D16 Island D17 Island D18 Island D19 Island D20 Island D21 Island D22 Island D23 Island D24 Island D25 Island D26 Island E1 Island E2 Island E3 Island E4 Island E5 Island E6 Island E7 Island E8 Island E9 Island E10 Island E11 Island E12 Island E14 Island E15 Island E16 Island E17 Island E18 Island E19 Island E20 Island E21 Island E22 Island E23 Island E24 Island E25 Island F1 Island F2 Island F3 Island F4 Island F5 Island F6 Island F7 Island F8 Island F9 Island F10 Island F11 Island F12 Island F13 Island F14 Island F15 Island F16 Island F17 Island F18 Island F19 Island F20 Island F21 Island F22 Island F23 Island F24 Island F25 TransferDom01 TransferDom02 TransferDom03 TransferDom04 TransferDom05 TransferDom06 TransferDom07 TransferDom08 TransferDom09 R. Stanby,,172.17.176.101 & 172.17.176.102 172.17.176.160 & 172.17.176.161 172.17.176.103 & 172.17.176.104 172.17.176.165 & 172.17.176.166 172.17.176.105 172.17.176.106 172.17.176.162 172.17.176.107 172.17.176.108 172.17.176.163 172.17.176.109 & 172.17.176.110 172.17.176.164 & 172.17.176.167 172.17.176.111 172.17.176.172 172.17.176.112 172.17.176.178 172.17.176.177 172.17.176.176 172.17.176.175 172.17.176.11 172.17.176.12 172.17.176.13 172.17.176.14 172.17.176.15 172.17.176.16 172.17.176.17 172.17.176.18 172.17.176.19 172.17.176.20 172.17.176.21 172.17.176.22 172.17.176.24 172.17.176.25 172.17.176.26 172.17.176.27 172.17.176.28 172.17.176.29 172.17.176.30 172.17.176.31 172.17.176.32 172.17.176.33 172.17.176.34 172.17.176.35 172.17.176.36 172.17.176.41 172.17.176.42 172.17.176.43 172.17.176.44 172.17.176.45 172.17.176.46 172.17.176.47 172.17.176.48 172.17.176.49 172.17.176.50 172.17.176.51 172.17.176.52 172.17.176.54 172.17.176.55 172.17.176.56 172.17.176.57 172.17.176.58 172.17.176.59 172.17.176.60 172.17.176.61 172.17.176.62 172.17.176.63 172.17.176.64 172.17.176.65 172.17.176.71 172.17.176.72 172.17.176.73 172.17.176.74 172.17.176.75 172.17.176.76 172.17.176.77 172.17.176.78 172.17.176.79 172.17.176.80 172.17.176.81 172.17.176.82 172.17.176.83 172.17.176.84 172.17.176.85 172.17.176.86 172.17.176.87 172.17.176.88 172.17.176.89 172.17.176.90 172.17.176.91 172.17.176.92 172.17.176.93 172.17.176.94 172.17.176.95 172.17.176.141 172.17.176.142 172.17.176.143 172.17.176.144 172.17.176.145 172.17.176.146 172.17.176.147 172.17.176.148 172.17.176.149
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
