No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
12,Printer manifest 22 9 17,48 kurang,Epson,LX-310,Q7FY235868 Q7FY235830 Q7FY235884 Q7FY235871 Q7FY236092 Q7FY236169 Q7FY236039 Q7FY235835 Q7FY235887 Q7FY235850 Q7FY235846 Q7FY235938 Q7FY235935 Q7FY235998 Q7FY235924 Q7FY256245 Q7FY255263 Q7FY256241 Q7FY255275 Q7FY255257 Q7FY253894 Q7FY255278,Gate 11 A Gate 11 B Gate 11 D Gate 12 A & B Gate 12 C Gate 12 D Gate13 A Gate 13 B Gate 13 C Gate 14 A Gate 14 B Gate 14 C Gate 15 A Gate 15 B Gate 15 C-D Gate 16 A Gate 16 B Gate 16 C Gate 17 A  Gate 17 B Gate 17 C  Gate 17 D,,172.17.176.101 172.17.176.102 172.17.176.161 172.17.176.103 & 172.17.176.104 172.17.176.165 172.17.176.166 172.17.176.105 172.17.176.106 172.17.176.162 172.17.176.107 172.17.176.108 172.17.176.163 172.17.176.109 172.17.176.110 172.17.176.164 172.17.176.111 172.17.176.172 172.17.176.112 172.17.176.175 172.17.176.176 172.17.176.177 172.17.176.178
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
13,Scanner,32 25 51 1,Access t3u sunter kurang,LSR-116,,Gate11A Gate11B Gate11C Gate11D Gate12A Gate12B Gate12C Gate12D Gate13A Gate13B Gate13C Gate14A Gate14 B Gate14C Gate15A Gate15B Gate15C Gate15D Gate16A Gate16B Gate16C Gate17A Gate17B Gate17C Gate17D,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
14,Automatic Gate,12,KABA,,,,,
15,Wifi router,4,Dlink,DSL-2500E,,,,
